Bengo,Angola,-8.9928444,13.7877067
Benguela,Angola,-12.5790048,13.4037117
Bie,Angola,-12.2630485,17.4967812
Cabinda,Angola,-5.056395,12.3211749
Cuando Cubango,Angola,-16.0457694,19.5621532
Cuanza Sul,Angola,-10.7707527,15.0975712
Cunene,Angola,-16.5568536,15.7867319
Huambo,Angola,-12.7765392,15.7320468
Huila,Angola,-14.6957808,15.0976293
Luanda,Angola,-8.8271656,13.2436665
Lunda Norte,Angola,-8.5088253,19.7538618
Lunda Sul,Angola,-10.1473779,20.9907756
Malanje,Angola,-9.5438758,16.3475095
Moxico,Angola,-12.7287195,21.2737637
Namibe,Angola,-15.1901576,12.1530839
Uige,Angola,-7.6117323,15.0563515
Zaire,Angola,-6.6925131,13.5293029
Alibori,Benin,11.4649482,2.7938798
Atakora,Benin,10.7160515,1.5331527
Atlantique,Benin,6.540829,2.223095
Borgou,Benin,9.7097453,2.7422648
Collines,Benin,8.1085479,2.1853101
Couffo,Benin,6.6343274,1.9883584
Donga,Benin,9.2679806,1.7170684
Littoral,Benin,6.2926138,2.4407501
Mono,Benin,6.457624,1.867408
Oueme,Benin,6.6013531,2.550566
Plateau,Benin,7.1002602,2.6409144
Zou,Benin,7.2834335,2.1227604
Central,Botswana,-23.1681782,24.5928742
Chobe,Botswana,-18.39146265,24.7067601439366
Ghanzi,Botswana,-21.6989682,21.6452408
Kgalagadi,Botswana,-24.8490576,21.7883349
Kgatleng,Botswana,-24.1447751,26.4204756
Kweneng,Botswana,-23.899835,25.959866
Ngamiland,Botswana,-19.9875533,23.4267468
North East,Botswana,-21.0244816,27.5147504
South-East,Botswana,-24.7998688,24.5800692
Southern,Botswana,-24.7998688,24.5800692
Abim,Uganda,2.80475035,33.7509770137339
Amudat,Uganda,1.82619575,34.9312697915409
Amuru,Uganda,3.12890295,32.1042167566376
Apac,Uganda,1.9173441,32.6476691056723
Budaka,Uganda,1.0658317,34.0208638753697
Bugiri,Uganda,0.52060155,33.7721577565441
Buikwe,Uganda,0.30529635,33.038571332192
Bukomansimbi,Uganda,-0.1261468,31.6227753949838
Bukwo,Uganda,1.2549526,34.692426014759
Bulambuli,Uganda,1.35811175,34.2803798817956
Buliisa,Uganda,1.92285635,31.3917565873461
Bundibugyo,Uganda,0.649379,30.04236818411
Bushenyi,Uganda,-0.5919031,30.3719625178581
Buyende,Uganda,1.235238,33.1703533244419
Butambala,Uganda,0.16426525,32.1352370732013
Iganga,Uganda,0.6782174,33.5522380755663
Kalungu,Uganda,-0.09636065,31.8136317344105
Kamuli,Uganda,0.94224745,33.1263004037931
Kapchorwa,Uganda,1.33106065,34.3961656340353
Sheema,Uganda,-0.5919031,30.3719625178581
Kitgum,Uganda,3.44388455,33.484117182439
Kole,Uganda,2.30153545,32.7356416109139
Kotido,Uganda,3.03355925,34.0388576030728
Kween,Uganda,1.35166485,34.5635806926613
Lamwo,Uganda,3.5241724,32.6557779722035
Luuka,Uganda,0.81993405,33.326894074382
Manafwa,Uganda,0.8908718,34.335203307283
